Bridgeport Police Dept	CT	1,603	1,638	1,527	1,412	1,447	1,760
Hartford Police Dept	CT	1,411	1,503	1,603	1,624	1,639	1,655
New Haven Police Dept	CT	2,288	2,218	2,195	1,994	1,748	1,870
Stamford Police Dept	CT	342	390	351	351	389	351
Waterbury Police Dept	CT	390	384	375	366	359	328
Washington Metropolitan Police Dept	DC	7,924	8,135	7,587	7,468	6,985	7,448
Cape Coral Police Dept	FL	402	363	332	276	235	229
City Of Port St Lucie Police Dept	FL	421	387	421	386	371	395
Clearwater Police Dept	FL	868	991	924	775	801	727
Coral Springs Police Dept	FL	301	312	338	261	236	229
Jacksonville	FL	8,146	8,032	6,772	5,469	5,182	5,189
Fort Lauderdale Police Dept	FL	1,523	1,628	1,481	1,356	1,565	1,543
Gainesville Police Dept	FL	1,122	1,046	1,156	906	912	851
Hialeah Police Dept	FL	1,274	1,149	925	951	860	810
Hollywood Police Dept	FL	827	800	696	596	660	643
Miami Police Dept	FL	6,119	5,709	4,983	4,879	4,849	4,856
Miramar Police Dept	FL	598	547	524	540	514	537
Orlando Police Dept	FL	4,269	3,829	2,814	2,574	2,591	2,508
Palm Bay Police Dept	FL	617	539	532	521	601	553
Pembroke Pines Police Dept	FL	390	400	300	276	310	238
Pompano Beach Police Dept	FL	1,310	1,208	1,029	992	917	1,060
St. Petersburg Police Dept	FL	3,830	3,368	3,334	2,758	2,532	2,239
Tallahassee Police Dept	FL	1,813	1,908	1,647	1,802	1,661	1,582
Tampa Police Dept	FL	3,575	2,975	2,597	2,170	2,228	2,162
West Palm Beach Police Dept	FL	1,158	967	905	789	769	821
Athens-Clarke County Police Department	GA	 	 	471	371	417	455
Atlanta Police Dept	GA	8,075	7,403	6,359	5,749	6,097	6,027
Columbus Police Dept	GA	1,316	1,274	1,153	1,005	933	994
Savannah Police Dept	GA	 	 	1,128	843	889	878
Honolulu Police Dept	HI	2,613	2,575	2,537	2,548	 	 
Boise Police Dept	ID	655	558	590	544	510	567
Aurora Police Dept	IL				634	636	563
Chicago Police Dept	IL						
Elgin Police Dept	IL				355	287	257
Joliet	IL				543	517	506
Naperville Police Dept	IL				126	112	119
Peoria Police Dept	IL				879	814	919
Rockford Police Dept	IL	2,121	2,212	2,074	2,283	2,106	2,083
Springfield Police Dept	IL				1,452	1,278	1,138
Evansville Police Dept	IN	522	462	432	493	491	560
Fort Wayne Police Dept	IN	762	816	876	746	785	931
