Gainesville Police Dept,FL,1122,1046,1156,906,912,851, 
Hialeah Police Dept,FL,1274,1149,925,951,860,810, 
Hollywood Police Dept,FL,827,800,696,596,660,643, 
Miami Police Dept,FL,6119,5709,4983,4879,4849,4856, 
Miramar Police Dept,FL,598,547,524,540,514,537, 
Orlando Police Dept,FL,4269,3829,2814,2574,2591,2508, 
Palm Bay Police Dept,FL,617,539,532,521,601,553, 
Pembroke Pines Police Dept,FL,390,400,300,276,310,238, 
Pompano Beach Police Dept,FL,1310,1208,1029,992,917,1060, 
St. Petersburg Police Dept,FL,3830,3368,3334,2758,2532,2239, 
Tallahassee Police Dept,FL,1813,1908,1647,1802,1661,1582, 
Tampa Police Dept,FL,3575,2975,2597,2170,2228,2162, 
West Palm Beach Police Dept,FL,1158,967,905,789,769,821, 
Athens-Clarke County Police Department,GA,,,471,371,417,455, 
Atlanta Police Dept,GA,8075,7403,6359,5749,6097,6027, 
Columbus Police Dept,GA,1316,1274,1153,1005,933,994, 
Savannah Police Dept,GA,,,1128,843,889,878, 
Honolulu Police Dept,HI,2613,2575,2537,2548,,, 
Boise Police Dept,ID,655,558,590,544,510,567, 
Aurora Police Dept,IL,,,,634,636,563, 
Chicago Police Dept,IL,,,,,,, 
Elgin Police Dept,IL,,,,355,287,257, 
Joliet,IL,,,,543,517,506, 
Naperville Police Dept,IL,,,,126,112,119, 
Peoria Police Dept,IL,,,,879,814,919, 
Rockford Police Dept,IL,2121,2212,2074,2283,2106,2083, 
Springfield Police Dept,IL,,,,1452,1278,1138, 
Evansville Police Dept,IN,522,462,432,493,491,560, 
Fort Wayne Police Dept,IN,762,816,876,746,785,931, 
Indianapolis Police Dept,IN,9841,9735,9759,9646,9170,9942, 
South Bend Police Dept,IN,805,819,769,746,744,622, 
Cedar Rapids Police Dept,IA,503,448,403,386,358,356, 
Davenport Police Dept,IA,825,794,740,868,652,604, 
Des Moines Police Dept,IA,1514,1360,1081,1084,1069,1094, 
City Of Overland Park Police Dept,KS,311,305,308,289,289,285, 
Kansas City Police Dept,KS,1149,,940,823,947,877, 
Olathe Police Dept,KS,633,613,264,216,226,191, 
Topeka Police Dept,KS,719,609,715,695,698,772, 
Wichita Police Dept,KS,3391,3097,3255,3038,2950,2869, 
Louisville Metro,KY,4238,4306,3769,3734,4086,3989, 
Lexington-Fayette County Police Department,KY,1790,1780,1760,1724,1358,1066, 
Baton Rouge Police Dept,LA,2615,2690,2823,2534,2468,2507, 
Lafayette Police Dept,LA,1293,1276,1115,940,843,779, 
New Orleans Police Dept,LA,3451,2869,2614,2593,2748,2958, 
Shreveport Police Dept,LA,2198,1897,1776,1533,1544,1550, 
Baltimore City Police Dept,MD,10182,10080,9664,9316,8886,8789, 
Boston Police Dept,MA,6837,6676,6192,5819,5252,5266, 
Cambridge Police Dept,MA,424,414,500,476,479,431, 
Lowell Police Dept,MA,875,1172,1167,1202,795,585, 
Springfield Police Dept,MA,2068,1898,1939,2093,1581,1606, 
Worcester Police Dept,MA,1534,1720,1802,1762,1800,1758, 
Ann Arbor Police Dept,MI,298,305,266,286,261,227, 
